"component_id","component_name","folder_path","primary_category","primary_job","borrowed_by_categories","layer_type","readiness","execution_level","adapter_for","provider","priority","template_ready","production_80_20_status","build_standard_notes","depends_on","used_by","notes"
"CFG-004","AI Profile Compatibility Pack","client-config/questionnaires/ai-profile-compatibility-map.md","Client Config Layer","Client configuration and implementation asset","All client-facing templates","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","N/A","P0","Yes","PASS_CONFIG_ASSET","Passes 80/20 standard as a configuration/documentation asset, not as an executable workflow.","N/A","AI templates","Built AI profile compatibility map integrating CFG-001.ai_profile with existing C4 client_ai_profile runtime contracts"
"CFG-004A","Client-Facing AI Customization Form","client-config/questionnaires/client-facing-ai-customization-form.md","Client Config Layer","Client configuration and implementation asset","All client-facing templates","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","N/A","P0","Yes","PASS_CONFIG_ASSET","Passes 80/20 standard as a configuration/documentation asset, not as an executable workflow.","CFG-004; CFG-001","C4 components; AI templates","Built simplified client-facing AI customization form that populates CFG-001.ai_profile"
"CFG-005","Credential Collection Checklist","client-config/questionnaires/credential-collection-checklist.md","Client Config Layer","Client configuration and implementation asset","All client-facing templates","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","N/A","P0","Yes","PASS_CONFIG_ASSET","Passes 80/20 standard as a configuration/documentation asset, not as an executable workflow.","N/A","Deployment","Built internal credential and access-readiness checklist for implementation readiness and adapter blockers"
"CFG-005A","Client-Facing Credential Checklist","client-config/questionnaires/client-facing-credential-checklist.md","Client Config Layer","Client configuration and implementation asset","All client-facing templates","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","N/A","P0","Yes","PASS_CONFIG_ASSET","Passes 80/20 standard as a configuration/documentation asset, not as an executable workflow.","CFG-005","All templates","Built simplified client-facing credential checklist that maps into CFG-005 credential readiness response"
"CFG-006","Template Config Generator","client-config/generators/template-config-generator","Client Config Layer","Client configuration and implementation asset","All client-facing templates","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","N/A","P0","Yes","PASS_CONFIG_ASSET","Passes 80/20 standard as a configuration/documentation asset, not as an executable workflow.","CFG-001; CFG-002; CFG-003","All templates","Built v1 spec for converting client/job/tool/AI/credential inputs into template config, adapter gap report, and assembly recommendation"
"TPL-P0-001","Lead Intake to Qualification to Follow-up","templates/p0/lead-intake-qualification-followup","Template Glue Layer","Client-ready workflow assembly","Commercial template layer","TEMPLATE_GLUE","NOT_BUILT","template_glue","multiple","mixed","P0","No","NOT_BUILT","Planned item; not built yet.","C2-E; C2-F; C2-D; C4-L; C4-E; C4-M; C2-O; C2-I; C5-W; C6-G","N/A","Highest ROI lead workflow template"
"TPL-P0-002","Form Submission to CRM Update to Team Alert","templates/p0/form-crm-alert","Template Glue Layer","Client-ready workflow assembly","Commercial template layer","TEMPLATE_GLUE","NOT_BUILT","template_glue","multiple","mixed","P0","No","NOT_BUILT","Planned item; not built yet.","C2-E; C2-F; C2-D; C2-B; C2-A1; C2-A2; C2-A3; C2-I; C5-W","N/A","High ROI basic automation template"
"TPL-P0-003","CSV/Excel Cleanup to CRM Import","templates/p0/csv-crm-import","Template Glue Layer","Client-ready workflow assembly","Commercial template layer","TEMPLATE_GLUE","NOT_BUILT","template_glue","multiple","mixed","P0","No","NOT_BUILT","Planned item; not built yet.","C2-N; C2-F; C2-D; C2-A1; C2-A2; C2-A3; C6-G","N/A","High ROI import/cleanup template"
"TPL-P0-004","Webhook to Normalize to API Sync","templates/p0/webhook-normalize-api-sync","Template Glue Layer","Client-ready workflow assembly","Commercial template layer","TEMPLATE_GLUE","NOT_BUILT","template_glue","multiple","mixed","P0","No","NOT_BUILT","Planned item; not built yet.","C2-C; C2-F; C2-B; C6-G; ADP-REST","N/A","High ROI API sync template"
"TPL-P0-005","AI Email Draft to Approval to Send","templates/p0/ai-email-approval-send","Template Glue Layer","Client-ready workflow assembly","Commercial template layer","TEMPLATE_GLUE","NOT_BUILT","template_glue","multiple","mixed","P0","No","NOT_BUILT","Planned item; not built yet.","C4-E; C4-M; C2-O; C2-O2; C2-I; C5-W; C6-G; ADP-GMAIL-SEND","N/A","High ROI AI email workflow"
"TPL-P0-006","Inbound Email to Extract to CRM Update","templates/p0/inbound-email-extract-crm","Template Glue Layer","Client-ready workflow assembly","Commercial template layer","TEMPLATE_GLUE","NOT_BUILT","template_glue","multiple","mixed","P0","No","NOT_BUILT","Planned item; not built yet.","ADP-GMAIL-INBOX; C4-B; C2-F; C2-D; C2-A3; C2-I","N/A","High ROI inbound email CRM workflow"
